id,retained_contract,contract_source,implementation,baseline_commit_and_original_result,implementation_commit,present_assertions,sensitivity,platform_CI,uncovered_behavior,owner
DCP-022,E2EI enrolment and renewal,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-001,Normal login and registration,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-002,Multi-account add/switch/remove,capabilities.md,Partial mapping: electron/src/accounts/AccountController.ts run/receive; broader contract review pending,Original provenance pending; later F-008 baseline 8cd6bd18: ordering/authority pass; overload fails,not yet traced,AccountControllerQueue.test.main.ts: copied FIFO payloads; stale denial; 32-operation bound; cancellation/replacement recovery; broader mapping pending,Copy/authority/limit/release perturbations fail; restored 40 queue/state/profile tests pass,Node-only local evidence; candidate hosted qualification pending,Broader capability/invariant paths pending; F-008 local remedy awaits hosted qualification,TST-006 / existing capability owner
DCP-003,Enterprise and automated SSO,capabilities.md,SingleSignOn.ts; SsoWindowCoordinator.ts; SsoWindowControlIpc.ts; AccountWindowPolicy.ts; mainProcess.ts SSO composition,c27cfa6a + 6e1fc7f0 before later SSO runtime changes; PR5 head f67d4835 build job96569886580 verifies18 passing SSO characterization and3 quarantined targets,SEC-008 7afc3139; cleanup 3f60d339; native redirects09260335; final qualification PR53; subsequent composed candidate pending,SingleSignOn.test.main.ts; SsoBackendCompletion.test.main.ts; SsoWindowCoordinator/ControlIpc tests; product navigation/E2EI transport. Review coverage pending F009 diagnostic fix.,Historical protocol/error-response mutations recorded in TST-002; original mutation log not independently recovered. Current critical sensitivity audit pending.,Original build https://github.com/adamlow-wire/wire-desktop/actions/runs/32413714251/job/96569886580; PR5 E2E skipped. Current platform evidence mapped in m3-acceptance.md; final composed run pending.,F009 raw SSO diagnostics; in-flight cookie-transfer/cleanup ordering investigation; live Keycloak/OIDC/ACME retained as external QA,CAP-002 / TST-006
DCP-004,"Logout, data clearing, and persistence",capabilities.md,Partial mapping: electron/src/accounts/AccountController.ts run/receive; broader contract review pending,Original provenance pending; later F-008 baseline 8cd6bd18: ordering/authority pass; overload fails,not yet traced,AccountControllerQueue.test.main.ts: copied FIFO payloads; stale denial; 32-operation bound; cancellation/replacement recovery; broader mapping pending,Copy/authority/limit/release perturbations fail; restored 40 queue/state/profile tests pass,Node-only local evidence; candidate hosted qualification pending,Broader capability/invariant paths pending; F-008 local remedy awaits hosted qualification,TST-006 / existing capability owner
DCP-005,Tray and native application menu,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-006,"Notifications, badges, and activation routing",capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-007,Camera and microphone calling,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-008,Display capture and screen sharing,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-009,Picture-in-picture call windows,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-010,Deep links and single-instance routing,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-011,Proxy configuration and authentication,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-012,Certificate verification and interception handling,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-013,Managed configuration,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-014,External links and context menus,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
DCP-015,Open Graph retrieval,capabilities.md,not yet traced,not evidenced,not yet traced,pending,pending,pending,pending,TST-006 / existing capability owner
